airport_code,airport_full_name,city,state,country_code,latitude,longitude
ABE,Lehigh Valley International Airport,Allentown,Pennsylvania,US,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,Texas,US,32.41130066,-99.68190002
ABQ,Albuquerque International Sunport,Albuquerque,New Mexico,US,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,South Dakota,US,45.44910049,-98.42179871
ABY,Southwest Georgia Regional Airport,Albany,Georgia,US,31.532946,-84.196215
ACK,Nantucket Memorial Airport,Nantucket,Massachusetts,US,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,Texas,US,31.61129951,-97.23049927
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,California,US,40.978101,-124.109
ACY,Atlantic City International Airport,Atlantic City,New Jersey,US,39.45759964,-74.57720184
ADK,Adak Airport,Adak,Alaska,US,51.883564,-176.642783
ADQ,Kodiak Airport,Kodiak,Alaska,US,57.75,-152.4940033
AEX,Alexandria International Airport,Alexandria,Louisiana,US,31.3274,-92.549797
AGS,Augusta Regional At Bush Field,Augusta,Georgia,US,33.3699,-81.9645
AKN,King Salmon Airport,King Salmon,Alaska,US,58.677845,-156.651965
ALB,Albany International Airport,Albany,New York,US,42.74829865,-73.80169678
ALO,Waterloo Regional Airport,Waterloo,Iowa,US,42.55709839,-92.40029907
ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,Colorado,US,37.434898,-105.866997
ALW,Walla Walla Regional Airport,Walla Walla,Washington,US,46.09489822,-118.288002
AMA,Rick Husband Amarillo International Airport,Amarillo,Texas,US,35.219398,-101.706001
ANC,Ted Stevens Anchorage International Airport,Anchorage,Alaska,US,61.179004,-149.992561
APF,Naples Municipal Airport,Naples,Florida,US,26.15259933,-81.77529907
APN,Alpena County Regional Airport,Alpena,Michigan,US,45.0780983,-83.56030273
ART,Watertown International Airport,Watertown,New York,US,43.991901,-76.021698
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,Colorado,US,39.223202,-106.869003
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Georgia,US,33.6367,-84.428101
ATW,Appleton International Airport,Appleton,Wisconsin,US,44.258099,-88.519096
ATY,Watertown Regional Airport,Watertown,South Dakota,US,44.91400146,-97.15470123
AUS,Austin Bergstrom International Airport,Austin,Texas,US,30.197535,-97.662015
AVL,Asheville Regional Airport,Asheville,North Carolina,US,35.436199,-82.541801
AVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,Pennsylvania,US,41.33850098,-75.7233963
